spot_id,n_frames,n_on_events,n_off_events,n_gray_events,mean_on_time,mean_off_time,mean_gray_time,on_fraction,off_fraction,gray_fraction,on_threshold,off_threshold
0,1499,296,200,206,3.2871621621621623,1.405,1.1893203883495145,0.6490993995997332,0.1874583055370247,0.16344229486324216,4885.366690547764,4011.9065297347306
3,1499,185,201,170,4.9837837837837835,1.318407960199005,1.8352941176470587,0.6150767178118746,0.17678452301534356,0.20813875917278185,2807.450085622072,1352.9000390625001
6,1499,341,350,210,1.903225806451613,1.6714285714285715,1.2619047619047619,0.43295530353569045,0.39026017344896596,0.17678452301534356,2509.3664205789564,1058.3065634059906
